LAI,LCC,CCC,B2,B3,B4,B5,B6,B7,B8A,B8,B11,B12,CI_green,CIre_705,CIre_740,ireci,mcari,mtci,ndi45,NDVIre,reip,RERI_705,RERI_783,s2rep,SeLI
5.21,33.678,175.46238,0.0176,0.041766667,0.034566666,0.065900003,0.188233336,0.242833336,0.268100003,0.255900005,0.155433332,0.081066666,5.127794584,2.883228461,0.359327128,0.638960501,0.049690819,6.186118285,0.309250931,0.590319077,728.0735067,0.116877121,0.65991807,728.0735067,0.605338633
5.24,40.473,212.07852,0.0172,0.0415,0.035266668,0.065666666,0.174100007,0.22086667,0.24423333,0.230533332,0.152733331,0.083699999,4.555309772,2.510800282,0.324179004,0.529671133,0.048326434,5.522126198,0.304290831,0.556560556,727.3508911,0.124473872,0.635438104,727.3508911,0.576206386
5.25,39.141,205.49025,0.017575,0.041625001,0.036750001,0.066875001,0.168474998,0.210650001,0.233475,0.220575001,0.156075001,0.087550001,4.302776515,2.301785052,0.308697894,0.487186432,0.047813717,5.27110827,0.298789904,0.533845335,727.54245,0.12922558,0.615101367,727.54245,0.554144889
5.21,42.48,221.3208,0.017266667,0.041200001,0.037966666,0.065933332,0.1614,0.201366668,0.224000002,0.214266668,0.156166668,0.088433335,4.200859865,2.250714382,0.329237421,0.438421269,0.03989256,5.430845261,0.267900229,0.529401342,727.5728963,0.124927357,0.604417642,727.5728963,0.545065661
5.2,47.106,244.9512,0.017266667,0.0413,0.0361,0.064766665,0.167900001,0.212800001,0.237833336,0.224166671,0.149266665,0.081433336,4.427264373,2.462661743,0.335400969,0.480865767,0.041319451,5.583381494,0.277801981,0.551508228,726.8502604,0.120611804,0.622457763,726.8502604,0.571680685
5.15,51.723,266.37345,0.0171,0.041500001,0.0336,0.063899999,0.182000001,0.231833334,0.258566668,0.245799998,0.149699996,0.079300001,4.92321078,2.847131332,0.350530873,0.613291264,0.050839367,6.007093906,0.316608399,0.587273717,727.8012085,0.117207525,0.649368584,727.8012085,0.603625476
5.05,47.88,241.794,0.017,0.0436,0.037675,0.066974999,0.171575002,0.209099997,0.232799999,0.222649999,0.150625002,0.081800001,4.11775893,2.327064216,0.296834104,0.477396645,0.046924051,5.144498825,0.292511821,0.536666259,726.0179138,0.125674557,0.609593004,726.0179138,0.552709162
4.92,50.157,246.77244,0.0172,0.041300001,0.034633333,0.065466667,0.179433336,0.232366666,0.257066662,0.242833331,0.151199996,0.081466667,4.878826936,2.710372368,0.353212525,0.575530728,0.048304971,5.875057697,0.303689033,0.575052579,727.7781576,0.12004211,0.648881793,727.7781576,0.593803565
4.69,29.934,140.39046,0.0166,0.0414,0.033733333,0.0634,0.181100001,0.230966667,0.256866669,0.242033333,0.150166666,0.0813,4.848504543,2.818515062,0.336467475,0.588268558,0.046694892,6.000383377,0.300999006,0.584614495,726.7839355,0.11552797,0.651940386,726.7839355,0.603778223
4.79,51.876,248.48604,0.017275,0.041625,0.036225,0.0659,0.170775,0.215275001,0.239,0.222975001,0.151574995,0.084625,4.359220743,2.385647714,0.305662684,0.465364136,0.042751154,5.213062882,0.279427327,0.54323861,725.2063751,0.124228247,0.624199197,725.2063751,0.567333475
